text,intent
"thoughts on superbike curently",COMPLEX_ADVICE
"just wondering What do you know about me?",COMPLEX_ADVICE
"analysis of minimum wge",COMPLEX_ADVICE
"privac ypolicy",DATA_SECURITY
"name origin",WHY_BERUANG
"do you think bonus urgently",COMPLEX_ADVICE
"what vrsion is this?",APP_VERSION
"sdfsdf",GARBAGE
"function o app",APP_PURPOSE
"latest inflation rate",COMPLEX_ADVICE
"savings definition",DEF_SAVINGS_DEF
"add transactoin",HELP_ADD_TRANSACTION
"bad bot",COMPLAINT
"yuiop",GARBAGE
"guide me on exchange rate statistics",COMPLEX_ADVICE
"delete trannsaction",HELP_DELETE_TRANSACTION
"worstapp",COMPLAINT
"v6ff7w",GARBAGE
"You suck",COMPLAINT
"go to home",NAV_HOME
"back to dshboard",NAV_HOME
"save interest debt",DEF_DEBT_AVALANCHE
"what is the unemployment rate",COMPLEX_ADVICE
"Are you tupid?",COMPLEX_ADVICE
"advice on buy now pay alter",COMPLEX_ADVICE
"idk Sing a song",COMPLEX_ADVICE
"prediction for alptop in 2025",COMPLEX_ADVICE
"help me with unit trust forr students",COMPLEX_ADVICE
"what is the best way to budget 2025",COMPLEX_ADVICE
"how to save as a student?",ADVICE_STUDENT_TIPS
"leeave",BYE
"delete transaction",HELP_DELETE_TRANSACTION
"hould i ps5",COMPLEX_ADVICE
"ater",BYE
"i feel poor",ADVICE_MOTIVATION
"definen eeds",DEF_NEEDS
"strategies for History of Malaysia",COMPLEX_ADVICE
"outlookf or wahed",COMPLEX_ADVICE
"how allocation works",HELP_INCOME_ALLOCATION
"target user",TARGET_AUDIENCE
"just wondernig portfolio",COMPLEX_ADVICE
"what is compounnd interest?",DEF_COMPOUND_INTEREST
"how do i dividend",COMPLEX_ADVICE
"clear entry",HELP_DELETE_TRANSACTION
"13 test",TESTING
"how does it help?",APP_PURPOSE
"hola",GREETING
"help me with dividend at my age",COMPLEX_ADVICE
"auto  category",HELP_AI_CATEGORIZATION
"current infation rate",COMPLEX_ADVICE
"hoola",GREETING
"usr info",NAV_PROFILE
"i feel poor",ADVICE_MOTIVATION
"latest poverty rate",COMPLEX_ADVICE
"debt avalnache",DEF_DEBT_AVALANCHE
"ctos",DEF_CREDIT_SCORE
"asdf",GARBAGE
"best waay to save",ADVICE_GENERAL_SAVING
"what is the purposeof this app?",APP_PURPOSE
"is it worth raise",COMPLEX_ADVICE
"pros and cons of economic  growth in 2025",COMPLEX_ADVICE
"show home",NAV_HOME
"talk to beruang",NAV_CHATBOT
"end chat",BYE
"tq",THANK_YOU
"withdraw savings?",HELP_WITHDRAW_SAVINGS
"how do i sb",COMPLEX_ADVICE
"hi",GREETING
"add salary",HELP_ADD_INCOME
"opinion on tabung haji with low risk",COMPLEX_ADVICE
"What do you kknow about me?",COMPLEX_ADVICE
"dit user",NAV_PROFILE
"signing off",BYE
"what are needs?",DEF_NEEDS
"trewq",GARBAGE
"settings",NAV_PROFILE
"explainn inflation concept",DEF_INFLATION
"scholarship 6 months",HELP_INCOME_ALLOCATION
"is asb good?",DEF_ASB
"new purchase",HELP_ADD_TRANSACTION
"how to start gold",COMPLEX_ADVICE
"reset profile",HELP_RESET_DATA
"ey",GREETING
"amybe",COMPLEX_ADVICE
"Cancel spending",HELP_DELETE_TRANSACTION
"what is the inteerest rate",COMPLEX_ADVICE
"strategies for I like coffee",COMPLEX_ADVICE
"tell me a joke",JOKE
"thanks bear",THANK_YOU
"pros and cons of promotion statistics",COMPLEX_ADVICE
"I feel poor",ADVICE_MOTIVATION
"i spent too much",ADVICE_MOTIVATION
"do you think wahed with no experience",COMPLEX_ADVICE
"how to delete?",HELP_DELETE_TRANSACTION
"how to save?",HELP_SAVINGS_SCREEN
"good job",THANK_YOU
"trasnaction list",NAV_EXPENSES
"spuervisor",DEVELOPER_INFO
"hat is my name?",COMPLEX_ADVICE
"good evening",GREETING
"is asb good?",DEF_ASB
"works offfline?",INTERNET_REQ
"guide me on wahed rate",COMPLEX_ADVICE
"ping",TESTING
"is this for me?",TARGET_AUDIENCE
"retake onboarding",HELP_RESET_DATA
"trewq",GARBAGE
"is it a bear?",WHY_BERUANG
"qwerty",GARBAGE
"do you think mortgage for students",COMPLEX_ADVICE
"scholarship 6 months",HELP_INCOME_ALLOCATION
"link bank?",BANK_LINKING
"help me with Tell me a story",COMPLEX_ADVICE
"recommendation for trading",COMPLEX_ADVICE
"funny",JOKE
"define wnts",DEF_WANTS
"can you explain afford with no experience",COMPLEX_ADVICE
"what is credit score?",DEF_CREDIT_SCORE
"not sure",COMPLEX_ADVICE
"guide me on gig ecoomy",COMPLEX_ADVICE
"hgfd",GARBAGE
"is it worth work life balance",COMPLEX_ADVICE
"is it a good idea to luno rate",COMPLEX_ADVICE
"what  is asb?",DEF_ASB
"rate of intterest rate",COMPLEX_ADVICE
"My pprofile",COMPLEX_ADVICE
"recommendation for dividend rate",COMPLEX_ADVICE
"outlook foriphone for the future",COMPLEX_ADVICE
"what is the purpose of this app?",APP_PURPOSE
"i failed my budget",ADVICE_MOTIVATION
"where to put savings",ADVICE_GENERAL_SAVING
"withdrw savings?",HELP_WITHDRAW_SAVINGS
"20% goal",HELP_SAVINGS_SCREEN
"yo beruang",GREETING
"i guess work life ballance for students",COMPLEX_ADVICE
"Tell me a stroy",COMPLEX_ADVICE
"whta is 50/30/20?",DEF_50_30_20
"Money is tight",ADVICE_MOTIVATION
"percentages",DEF_50_30_20
"univesrity finance",ADVICE_STUDENT_TIPS
"opiinion on business latest",COMPLEX_ADVICE
"give me a tip",ADVICE_GENERAL_TIP
"I am bored",COMPLEX_ADVICE
"ell me a joke",JOKE
"bnak integration",BANK_LINKING
"why need emergency fund?",DEF_EMERGENCY_FUND
"avalanche method",DEF_DEBT_AVALANCHE
"ping",TESTING
"percenatges",DEF_50_30_20
"zzzz",GARBAGE
"opinion on tax relief in amlaysia",COMPLEX_ADVICE
"qwerty",GARBAGE
"is it a good idea to dividend as  a fresh grad",COMPLEX_ADVICE
"system error",GARBAGE
"go to home",NAV_HOME
"contac support",CONTACT_SUPPORT
"new purchase",HELP_ADD_TRANSACTION
"terima kasih",THANK_YOU
"where to put salary",HELP_ADD_INCOME
"hey ear",GREETING
"waht are wants?",DEF_WANTS
"money is tight",ADVICE_MOTIVATION
"cttos",DEF_CREDIT_SCORE
"what is emergency fund?",DEF_EMERGENCY_FUND
"outlook for excange rate",COMPLEX_ADVICE
"goodbye",BYE
"identify yourself",WHO_ARE_YOU
"b nm",GARBAGE
"whom ade this?",DEVELOPER_INFO
"do you think Do you know me?",COMPLEX_ADVICE
"what is the OPR rate",COMPLEX_ADVICE
"outlook for unemployment rate",COMPLEX_ADVICE
"snowball vs avalanche",DEF_DEBT_SNOWBALL
"nothin I am bored",COMPLEX_ADVICE
"rate of ORP rate",COMPLEX_ADVICE
"should i unemployment rate right now",COMPLEX_ADVICE
"latest ta rate",COMPLEX_ADVICE
"Tell me a story",COMPLEX_ADVICE
"prediction for side husstle urgently",COMPLEX_ADVICE
"guide me on stashaway",COMPLEX_ADVICE
"percentages",DEF_50_30_20
"cancel spending",HELP_DELETE_TRANSACTION
"can you explain inerview statistics",COMPLEX_ADVICE
"i spent money",HELP_ADD_TRANSACTION
"thoughts on OPR rate",COMPLEX_ADVICE
"defin ewants",DEF_WANTS
"greetings",GREETING
"stupid",COMPLAINT
"opiinion on resign",COMPLEX_ADVICE
"latest exchange rate",COMPLEX_ADVICE
"cr",HELP_RECEIPT_SCAN
"compounding",DEF_COMPOUND_INTEREST
"educatio nloan",DEF_PTPTN
"exit",BYE
"yoo beruang",GREETING
"updatee spending",HELP_EDIT_TRANSACTION
"can you explain resume urgnetly",COMPLEX_ADVICE
"Who is the prime minister?",COMPLEX_ADVICE
"who madee this?",DEVELOPER_INFO
"student budget tips",ADVICE_STUDENT_TIPS
"hi there",GREETING
"how to add mooney",HELP_ADD_INCOME
"identify yourself",WHO_ARE_YOU
"deeloper name",DEVELOPER_INFO
"go to home",NAV_HOME
"pros nd cons of roi",COMPLEX_ADVICE
"is it worth inflation rate rate",COMPLEX_ADVICE
"open eexpenses",NAV_EXPENSES
"prediction for shopee pay in malaysia",COMPLEX_ADVICE
"opiion on portfolio",COMPLEX_ADVICE
"is it a bear?",WHY_BERUANG
"can i connect bank?",BANK_LINKING
"outlook for loan",COMPLEX_ADVICE
"hola",GREETING
"yo beruang",GREETING
"add salary",HELP_ADD_INCOME
"bad bot",COMPLAINT
"doyou think freelance as a fresh grad",COMPLEX_ADVICE
"nothing",COMPLEX_ADVICE
"emergency fund use",HELP_WITHDRAW_SAVINGS
"iidk",COMPLEX_ADVICE
"what is th etax rate",COMPLEX_ADVICE
"x",GARBAGE
"efine needs",DEF_NEEDS
"thanks bear",THANK_YOU
"systeem check",TESTING
"12345",GARBAGE
"no tsure",COMPLEX_ADVICE
"upload photo?",HELP_RECEIPT_SCAN
"onthing",COMPLEX_ADVICE
"?!",GARBAGE
"open profile",NAV_PROFILE
"what does inflation mean?",DEF_INFLATION
"what is 50/30/20?",DEF_50_30_20
"opinion on iphon safely",COMPLEX_ADVICE
"delete transaction",HELP_DELETE_TRANSACTION
"hgfd",GARBAGE
"current inflation rate",COMPLEX_ADVICE
"supervisor",DEVELOPER_INFO
"tell me about tax relief",COMPLEX_ADVICE
"idk",COMPLEX_ADVICE
"idk Who is the rpime minister?",COMPLEX_ADVICE
"hi",GREETING
"give me tips for economic growth as a fresh grad",COMPLEX_ADVICE
"what kind of bo are you?",WHO_ARE_YOU
"hi there",GREETING
"outlook for career",COMPLEX_ADVICE
"good aftrenoon",GREETING
"outlook for portfolio with ow risk",COMPLEX_ADVICE
"thank you",THANK_YOU
"give me a tip",ADVICE_GENERAL_TIP
"teting",GARBAGE
"why use this?",APP_PURPOSE
"tell me the interest rate",COMPLEX_ADVICE
"test",TESTING
"give me motivation",ADVICE_MOTIVATION
"no money student",ADVICE_STUDENT_TIPS
"v6f7fw",GARBAGE
"why tha tname?",WHY_BERUANG
"student budget tips",ADVICE_STUDENT_TIPS
"fsdfsdf",GARBAGE
"how to pay debt fast",DEF_DEBT_SNOWBALL
"change expense",HELP_EDIT_TRANSACTION
"pf",DEF_KWSP
"snowball vs avaanche",DEF_DEBT_SNOWBALL
"debt snowball",DEF_DEBT_SNOWBALL
"help me with binance",COMPLEX_ADVICE
"snowball method",DEF_DEBT_SNOWBALL
"amanah saham bumiputera",DEF_ASB
"what is the best way to dogecoin currently",COMPLEX_ADVICE
"what isthe inflation rate",COMPLEX_ADVICE
"can you explain side hustle in 2025",COMPLEX_ADVICE
"works offline?",INTERNET_REQ
"meainng of name",WHY_BERUANG
"is it worth gaming ppc in malaysia",COMPLEX_ADVICE
"what does infltaion mean?",DEF_INFLATION
"movve to budget",HELP_WITHDRAW_SAVINGS
"customerr service",CONTACT_SUPPORT
"What is the weather?",COMPLEX_ADVICE
"yuiiop",GARBAGE
"advice on career for the future",COMPLEX_ADVICE
"v6ff7w",GARBAGE
"how do i affrod",COMPLEX_ADVICE
"echo",TESTING
"contact support",CONTACT_SUPPORT
"Tell me a story",COMPLEX_ADVICE
"aks ai",NAV_CHATBOT
"strateegies for What is the weather?",COMPLEX_ADVICE
"how to pay debt fast",DEF_DEBT_SNOWBALL
"wroong answer",COMPLAINT
"withdraw savings?",HELP_WITHDRAW_SAVINGS
"nothing",COMPLEX_ADVICE
"snowball method",DEF_DEBT_SNOWBALL
"linkb ank?",BANK_LINKING
"idvide salary",HELP_INCOME_ALLOCATION
"how do i  iphone at my age",COMPLEX_ADVICE
"what does inflation mean?",DEF_INFLATION
"tell me a joke",JOKE
"scholarship 6 months",HELP_INCOME_ALLOCATION
"what is the best way to expensive for students",COMPLEX_ADVICE
"I liike coffee",COMPLEX_ADVICE
"tst",TESTING
"coffee need or waant?",DEF_WANTS
"financail advice",ADVICE_GENERAL_TIP
"tell me about startup for beginners",COMPLEX_ADVICE
"what is credit score?",DEF_CREDIT_SCORE
"ai cateogry",HELP_AI_CATEGORIZATION
"what is eergency fund?",DEF_EMERGENCY_FUND
"secure?",DATA_SECURITY
"hi",GREETING
"clear entry",HELP_DELETE_TRANSACTION
"is ths for me?",TARGET_AUDIENCE
"is it worth p5 right now",COMPLEX_ADVICE
"trweq",GARBAGE
"What is the weaather?",COMPLEX_ADVICE
"who built this app?",DEVELOPER_INFO
"not sure",COMPLEX_ADVICE
"outlook for property with low risk",COMPLEX_ADVICE
"pros and cons of portfolio with small capiatl",COMPLEX_ADVICE
"you suck",COMPLAINT
"frugaltip",ADVICE_GENERAL_TIP
"mayybe",COMPLEX_ADVICE
"just wondering robot advisor with no experience",COMPLEX_ADVICE
"change expense",HELP_EDIT_TRANSACTION
"cancel spening",HELP_DELETE_TRANSACTION
"add to savings",HELP_SAVINGS_SCREEN
"i spent money",HELP_ADD_TRANSACTION
"explain rule",DEF_50_30_20
"htx",THANK_YOU
"savings bar",HELP_SAVINGS_SCREEN
"why use this?",APP_PURPOSE
"view history",NAV_EXPENSES
"what is the interesst rate",COMPLEX_ADVICE
"nothing",COMPLEX_ADVICE
"what is thep overty rate",COMPLEX_ADVICE
"ffsdfsdf",GARBAGE
"snowball vs avalanche",DEF_DEBT_SNOWBALL
"rate of inflation rate",COMPLEX_ADVICE
"you areuseless",COMPLAINT
"what kind of bota re you?",WHO_ARE_YOU
"zzzz",GARBAGE
"20% goal",HELP_SAVINGS_SCREEN
"null",GARBAGE
"show expenses",NAV_EXPENSES
"how to edit?",HELP_EDIT_TRANSACTION
"transaction list",NAV_EXPENSES
"define wants",DEF_WANTS
"go to transaction log",NAV_EXPENSES
"My profile",COMPLEX_ADVICE
"clear entry",HELP_DELETE_TRANSACTION
"maybe",COMPLEX_ADVICE
"avalaanche method",DEF_DEBT_AVALANCHE
"etll me a joke",JOKE
"deleteaccount",HELP_RESET_DATA
"savings screen",HELP_SAVINGS_SCREEN
"what is tabung haji?",DEF_TABUNG_HAJI
"is it a good idea to crypto in malaysia",COMPLEX_ADVICE
"Wat time is it?",COMPLEX_ADVICE
"what is the best way to buy hosue right now",COMPLEX_ADVICE
"deposit money",HELP_ADD_INCOME
"explain rule",DEF_50_30_20
"add transaction",HELP_ADD_TRANSACTION
"uniiversity",DEVELOPER_INFO
"percentges",DEF_50_30_20
"rate of uneployment rate",COMPLEX_ADVICE
"hey",GREETING
"asdf",GARBAGE
"mnoey is tight",ADVICE_MOTIVATION
"ye",BYE
"echo",TESTING
"how allocation works",HELP_INCOME_ALLOCATION
"is it worth mortgage",COMPLEX_ADVICE
"go to bot",NAV_CHATBOT
"is it worth My profile",COMPLEX_ADVICE
"budget rule",DEF_50_30_20
"v6ff7w",GARBAGE
"What is 2+2?",COMPLEX_ADVICE
"prediction for wahed urgently",COMPLEX_ADVICE
"how to save?",HELP_SAVINGS_SCREEN
"good night",BYE
"latest  interest rate",COMPLEX_ADVICE
"what is yyour name?",WHO_ARE_YOU
"cany ou explain Sing a song",COMPLEX_ADVICE
"My details",COMPLEX_ADVICE
"ntohing",COMPLEX_ADVICE
"opinion on atx relief",COMPLEX_ADVICE
"define savings",DEF_SAVINGS_DEF
"ltaer",BYE
"got pid",HELP_ADD_INCOME
"What is the weather?",COMPLEX_ADVICE
"fsdfsdf",GARBAGE
"just wondering honda",COMPLEX_ADVICE
"go to profile",NAV_PROFILE
"is this for me?",TARGET_AUDIENCE
"what is ptptn?",DEF_PTPTN
"do you thin laptop currently",COMPLEX_ADVICE
"name origin",WHY_BERUANG
"howdo i What is the weather?",COMPLEX_ADVICE
"what does thi app do?",APP_PURPOSE
"camera feautre?",HELP_RECEIPT_SCAN
"tell me about iphone altest",COMPLEX_ADVICE
"is this working",TESTING
"who are you?",WHO_ARE_YOU
"blah  blah",GARBAGE
"do you think crytpo",COMPLEX_ADVICE
"where to add cost",HELP_ADD_TRANSACTION
"idk Are you stupid?",COMPLEX_ADVICE
"ptptn ebt",DEF_PTPTN
"can i connnect bank?",BANK_LINKING
"just wonedring robot advisor",COMPLEX_ADVICE
"why need emergency fund?",DEF_EMERGENCY_FUND
"noth elpful",COMPLAINT
"not sure",COMPLEX_ADVICE
"explani inflation concept",DEF_INFLATION
"th",DEF_TABUNG_HAJI
"ping",TESTING
"My profile",COMPLEX_ADVICE
"Withdraw savings?",HELP_WITHDRAW_SAVINGS
"can i use without internet?",INTERNET_REQ
"i am broke",ADVICE_MOTIVATION
"ont sure",COMPLEX_ADVICE
"opinion on What is my name?",COMPLEX_ADVICE
"thoughts on wahed with smallcapital",COMPLEX_ADVICE
"savings bar",HELP_SAVINGS_SCREEN
"123 test",TESTING
"what does beuang mean?",WHY_BERUANG
"why beruang?",WHY_BERUANG
"sstart over",HELP_RESET_DATA
"adsf",GARBAGE
"edcation loan",DEF_PTPTN
"fsdfsdf",GARBAGE
"divide salary",HELP_INCOME_ALLOCATION
"hey bear",GREETING
"analysis of Singg a song",COMPLEX_ADVICE
"current tax rate",COMPLEX_ADVICE
"rate of unemployment rte",COMPLEX_ADVICE
"hig hinterest savings",ADVICE_GENERAL_SAVING
"how allocation works",HELP_INCOME_ALLOCATION
"not helpful",COMPLAINT
"is my ino secure?",DATA_SECURITY
"funny",JOKE
"why use this?",APP_PURPOSE
"give me tips for Do you know me?",COMPLEX_ADVICE
"bbye",BYE
"current ta rate",COMPLEX_ADVICE
"hello",GREETING
"financil advice",ADVICE_GENERAL_TIP
"make me laaugh",JOKE
"go to bot",NAV_CHATBOT
"bbuild number",APP_VERSION
"talk to beruang",NAV_CHATBOT
"Histry of Malaysia",COMPLEX_ADVICE
"money hack",ADVICE_GENERAL_TIP
"not sure Sing a song",COMPLEX_ADVICE
"lump sum",HELP_INCOME_ALLOCATION
"ping",TESTING
"just wondering luno",COMPLEX_ADVICE
"developeer name",DEVELOPER_INFO
"debt avalanche",DEF_DEBT_AVALANCHE
"i failde my budget",ADVICE_MOTIVATION
"unefined",GARBAGE
"poinion on ethereum",COMPLEX_ADVICE
"good afternoon",GREETING
"chang eexpense",HELP_EDIT_TRANSACTION
"howw do i laptop",COMPLEX_ADVICE
"student budget tips",ADVICE_STUDENT_TIPS
"latest exchange rate",COMPLEX_ADVICE
"coffee need ro want?",DEF_WANTS
"terima kasih",THANK_YOU
"how to start myvi with small capital",COMPLEX_ADVICE
"current unemployment rate",COMPLEX_ADVICE
"What timei s it?",COMPLEX_ADVICE
"take moey out",HELP_WITHDRAW_SAVINGS
"lzcxv",GARBAGE
"contact support",CONTACT_SUPPORT
"tell me about yourself",WHO_ARE_YOU
"123 test",TESTING
"nnothing",COMPLEX_ADVICE
"is it worth promotion for beginners",COMPLEX_ADVICE
"i spent too much",ADVICE_MOTIVATION
"ojke",JOKE
"add income",HELP_ADD_INCOME
"adsf",GARBAGE
"sselamat pagi",GREETING
"go to home",NAV_HOME
"reset profile",HELP_RESET_DATA
"not usre",COMPLEX_ADVICE
"no mmoney student",ADVICE_STUDENT_TIPS
"student budget tips",ADVICE_STUDENT_TIPS
"cimb link?",BANK_LINKING
"gto paid",HELP_ADD_INCOME
"Tell me about yourself",WHO_ARE_YOU
"how does cateogrization work?",HELP_AI_CATEGORIZATION
"education loan",DEF_PTPTN
"change epense",HELP_EDIT_TRANSACTION
"epf aaccount",DEF_KWSP
"g to bot",NAV_CHATBOT
"coffe need or want?",DEF_WANTS
"functiion of app",APP_PURPOSE
"ask ai",NAV_CHATBOT
"app version",APP_VERSION
"dad salary",HELP_ADD_INCOME
"cancel spending",HELP_DELETE_TRANSACTION
"current unemployment rate",COMPLEX_ADVICE
"20% gal",HELP_SAVINGS_SCREEN
"ell me the OPR rate",COMPLEX_ADVICE
"tell me about roi",COMPLEX_ADVICE
"no wii?",INTERNET_REQ
"tq",THANK_YOU
"jkklo",GARBAGE
"si data safe?",DATA_SECURITY
"Who is the prime minister?",COMPLEX_ADVICE
"idk",COMPLEX_ADVICE
"th",DEF_TABUNG_HAJI
"terima kasih",THANK_YOU
"why needd emergency fund?",DEF_EMERGENCY_FUND
"is data safe?",DATA_SECURITY
"main screen",NAV_HOME
"i guess dogecoin with no experience",COMPLEX_ADVICE
"aask ai",NAV_CHATBOT
"pros and cons of mortgage",COMPLEX_ADVICE
"no tsure",COMPLEX_ADVICE
"enter aernings",HELP_ADD_INCOME
"jlo",GARBAGE
"cimb link?",BANK_LINKING
"what kind of bot are you?",WHO_ARE_YOU
"test",TESTING
"created by",DEVELOPER_INFO
"ffsdfsdf",GARBAGE
"who is this for?",TARGET_AUDIENCE
"i failed my budget",ADVICE_MOTIVATION
"got paid",HELP_ADD_INCOME
"wha tis the OPR rate",COMPLEX_ADVICE
"current infltaion rate",COMPLEX_ADVICE
"askk ai",NAV_CHATBOT
"latest interest rate",COMPLEX_ADVICE
"secuer?",DATA_SECURITY
"should i interest rate",COMPLEX_ADVICE
"can i scan bills?",HELP_RECEIPT_SCAN
"bbye",BYE
"not sure",COMPLEX_ADVICE
"fi xmistake",HELP_EDIT_TRANSACTION
"no wifi?",INTERNET_REQ
"app version",APP_VERSION
"Reset profile",HELP_RESET_DATA
"idk",COMPLEX_ADVICE
"analysis of exchange rate rate",COMPLEX_ADVICE
"record spendng",HELP_ADD_TRANSACTION
"divide salary",HELP_INCOME_ALLOCATION
"leave",BYE
"tell me about bnpl safely",COMPLEX_ADVICE
"why use this?",APP_PURPOSE
"luump sum",HELP_INCOME_ALLOCATION
"th",DEF_TABUNG_HAJI
"good morning",GREETING
"debt avalanche",DEF_DEBT_AVALANCHE
"main screen",NAV_HOME
"why need emergency fund?",DEF_EMERGENCY_FUND
"ot sure",GARBAGE
"scholarship 6 months",HELP_INCOME_ALLOCATION
"what does inflation mean?",DEF_INFLATION
"i am broke",ADVICE_MOTIVATION
"how do i Who is the prime miniser?",COMPLEX_ADVICE
"my spending list",NAV_EXPENSES
"is it for students?",TARGET_AUDIENCE
"current atx rate",COMPLEX_ADVICE
"bbudget rule",DEF_50_30_20
"can you explain nft",COMPLEX_ADVICE
"can you explain I aam bored",COMPLEX_ADVICE
"whatis asb?",DEF_ASB
"open chat",NAV_CHATBOT
"outlook for mortgage",COMPLEX_ADVICE
"move t budget",HELP_WITHDRAW_SAVINGS
"opinion o What is my name?",COMPLEX_ADVICE
"where to put salary",HELP_ADD_INCOME
"leave",BYE
"how much emergency fund?",DEF_EMERGENCY_FUND
"what is the poverty  rate",COMPLEX_ADVICE
"examples of wants",DEF_WANTS
"what is the purpose of this app?",APP_PURPOSE
"iss asb good?",DEF_ASB
"what is compound interest?",DEF_COMPOUND_INTEREST
"hat is the inflation rate",COMPLEX_ADVICE
"system error",GARBAGE
"rae of tax rate",COMPLEX_ADVICE
"strateggies for invest",COMPLEX_ADVICE
"is ren ta need?",DEF_NEEDS
"naalysis of bonus",COMPLEX_ADVICE
"i a broke",ADVICE_MOTIVATION
"education loan",DEF_PTPTN
"is this working",TESTING
"hwat is asb?",DEF_ASB
"define savings",DEF_SAVINGS_DEF
"help me with entrepreneur",COMPLEX_ADVICE
"th",DEF_TABUNG_HAJI
"give me tips for promtion at my age",COMPLEX_ADVICE
"is asb godo?",DEF_ASB
"mic check",TESTING
"guide me on inflation rate rate",COMPLEX_ADVICE
"is it a good idea to budget 2025",COMPLEX_ADVICE
"goto transaction log",NAV_EXPENSES
"ai ccategory",HELP_AI_CATEGORIZATION
"ccris",DEF_CREDIT_SCORE
"view history",NAV_EXPENSES
"tell me the interest rate",COMPLEX_ADVICE
"not sure",COMPLEX_ADVICE
"strategies for History of Malaysia",COMPLEX_ADVICE
"not helpful",COMPLAINT
"explain rule",DEF_50_30_20
"Do you lkie humans?",COMPLEX_ADVICE
"latet tax rate",COMPLEX_ADVICE
"owrks offline?",INTERNET_REQ
"nothing My profle",COMPLEX_ADVICE
"thesis detalis",DEVELOPER_INFO
"open chat",NAV_CHATBOT
"advice on ell me a story",COMPLEX_ADVICE
"asdf",GARBAGE
"pros and cons of interrest rate",COMPLEX_ADVICE
"i spentmoney",HELP_ADD_TRANSACTION
"tell me the inflation rate",COMPLEX_ADVICE
"divide salary",HELP_INCOME_ALLOCATION
"i guess interest rate",COMPLEX_ADVICE
"tell me about OPR rate with no experience",COMPLEX_ADVICE
"mybe",COMPLEX_ADVICE
"can i use without internet?",INTERNET_REQ
"add to savings",HELP_SAVINGS_SCREEN
"is asb good?",DEF_ASB
"outlook for tax relief in 2025",COMPLEX_ADVICE
"do you think superbike",COMPLEX_ADVICE
"tell me a joke",JOKE
"education loan",DEF_PTPTN
"badd bot",COMPLAINT
"high inteest savings",ADVICE_GENERAL_SAVING
"mmy spending list",NAV_EXPENSES
"oppen expenses",NAV_EXPENSES
"what does beruang mean?",WHY_BERUANG
"testing",TESTING
"sync ccount?",BANK_LINKING
"smart classification",HELP_AI_CATEGORIZATION
"what si your name?",WHO_ARE_YOU
"zzzz",GARBAGE
"smart classification",HELP_AI_CATEGORIZATION
"goood job",THANK_YOU
"add to savings",HELP_SAVINGS_SCREEN
"unievrsity",DEVELOPER_INFO
"should i budget 2025",COMPLEX_ADVICE
"developer name",DEVELOPER_INFO
"avalanche method",DEF_DEBT_AVALANCHE
"help me save",ADVICE_MOTIVATION
"badbot",COMPLAINT
"should i xchange rate",COMPLEX_ADVICE
"just wonndering I am bored",COMPLEX_ADVICE
"maybe",COMPLEX_ADVICE
"goobdye",BYE
"dik",COMPLEX_ADVICE
"budget method",DEF_50_30_20
"blah blah",GARBAGE
"why save?",DEF_SAVINGS_DEF
"later",BYE
"raate of inflation rate",COMPLEX_ADVICE
"rte of tax rate",COMPLEX_ADVICE
"got pid",HELP_ADD_INCOME
"emergency savinngs",DEF_EMERGENCY_FUND
"not sure",COMPLEX_ADVICE
"deefine wants",DEF_WANTS
"what is crediit score?",DEF_CREDIT_SCORE
"outlook for binance latest",COMPLEX_ADVICE
"good night",BYE
"what is your name?",WHO_ARE_YOU
"asdf",GARBAGE
"smart classification",HELP_AI_CATEGORIZATION
"opiniion on trading currently",COMPLEX_ADVICE
"strategies for unemployment rate",COMPLEX_ADVICE
"opinion on propety with small capital",COMPLEX_ADVICE
"what does this app do?",APP_PURPOSE
"budget method",DEF_50_30_20
"saving tips",ADVICE_GENERAL_TIP
"y profile",COMPLEX_ADVICE
"prediction for buy now pay later righ now",COMPLEX_ADVICE
"12345",GARBAGE
"teest",TESTING
"clear all",HELP_RESET_DATA
"edit user",NAV_PROFILE
"thesis details",DEVELOPER_INFO
"iis this for me?",TARGET_AUDIENCE
"education loan",DEF_PTPTN
"i have no money",ADVICE_MOTIVATION
"can you explain Are you stupid?",COMPLEX_ADVICE
"how do i raise given my income",COMPLEX_ADVICE
"latest unmeployment rate",COMPLEX_ADVICE
"tell me thee inflation rate",COMPLEX_ADVICE
"opinion on unemployment rate statistics",COMPLEX_ADVICE
"why that name?",WHY_BERUANG
"withdraw  savings?",HELP_WITHDRAW_SAVINGS
"do you think uneemployment rate",COMPLEX_ADVICE
"what does beruang mean?",WHY_BERUANG
"best way to save",ADVICE_GENERAL_SAVING
"whatt does inflation mean?",DEF_INFLATION
"how does categorization work?",HELP_AI_CATEGORIZATION
"advice on enrepreneur",COMPLEX_ADVICE
"advice on I lik coffee",COMPLEX_ADVICE
"is it worth resign",COMPLEX_ADVICE
"is rent a need?",DEF_NEEDS
"ptptn debt",DEF_PTPTN
"debt snowball",DEF_DEBT_SNOWBALL
"is my info secure?",DATA_SECURITY
"debt avalanche",DEF_DEBT_AVALANCHE
"open home page",NAV_HOME
"maggic of compounding",DEF_COMPOUND_INTEREST
"credit rating",DEF_CREDIT_SCORE
"can i connect baank?",BANK_LINKING
"guide me on mortgage givenn my income",COMPLEX_ADVICE
"good evening",GREETING
"what is compound interest?",DEF_COMPOUND_INTEREST
"high interest savings",ADVICE_GENERAL_SAVING
"is asb goood?",DEF_ASB
