description,category,subcategory
tiket flight,wants,Others
bayar sewa rumah,needs,Financial Services
tengok wayan,wants,Entertainment
renew roadtax,needs,Financial Services
zakat fitrah  pavilion cash,needs,Financial Services
nasi lemak biasa,needs,Food & Beverage
tnb bill payment,needs,Financial Services
打油 (dǎ yóu),needs,Transportation
reload prepaid,needs,Telecommunication
唱K (karaoke),wants,Entertainment
data reload,needs,Telecommunication
minyak maak paket,needs,Food & Beverage
ngeteh mahal  midvalley,wants,Food & Beverage
school fees  pavilin urgent,needs,Others
போன் பில் (phone bill)  kedai runcit,needs,Telecommunication
bus fare,needs,Transportation
பஸ்ஸா (pizza)  kedai runcit deposit,wants,Food & Beverage
buy cooking oil urgent,needs,Food & Beverage
tambah nilai tng,needs,Transportation
team games,wants,Entertainment
பஸ் கட்டணம் (bus far)e  at mall,needs,Transportation
kredit telefon,needs,Telecommunication
karaoke night,wants,Entertainment
nangga wayang,wants,Entertainment
杂饭 (záfàn) chers,needs,Food & Beverage
充值 (top up),needs,Telecommunication
main game  midvalley,wants,Entertainment
makan wagyu  bangsar monthly,wants,Food & Beverage
网购 (online shopping) shah alam,wants,Shopping
topup holtink  online,needs,Telecommunication
buy cooking oil,needs,Food & Beverage
买药 (mǎi yào),needs,Others
steam games yesterday,wants,Entertainment
new gadget,wants,Shopping
iphone 15 pro,wants,Shopping
langgan netflix,wants,Entertainment
korean bbq shah alam,wants,Food & Beverage
yurna tadika for mom,needs,Others
sayur manis  online,needs,Food & Beverage
bayar maxis chears,needs,Telecommunication
tapau nasi cheras,needs,Food & Beverage
skincare haul klang,wants,Shopping
doctor visit monthly,needs,Others
genting highland trip  kedai runcit,wants,Entertainment
reload prepaid penang,needs,Telecommunication
buy groceries giant shah alam credit,needs,Food & Beverage
concert ickets monthly,wants,Entertainment
hotle mahal credit,wants,Others
tudung duck kl,wants,Shopping
spa dan urut,wants,Others
tuition fees,needs,Others
tiket konsert shah alam,wants,Entertainment
pekena nasi kandaq,wants,Food & Beverage
சுற்றுலா (tour) rm10,wants,Others
tiket flight,wants,Others
还车贷 (huán chēdài)  pavilion,needs,Financial Services
அரிசி (arisi)  kedai runcit,needs,Food & Beverage
buy groceries giant yesterday,needs,Food & Beverage
gi pusing pusing damansara today,wants,Others
diapers and milk,needs,Others
去云顶 (genting) kl for family,wants,Entertainment
toiletries,needs,Others
reload prepaid,needs,Telecommunication
充值Touch n Go  kedai runcit,needs,Transportation
isi minyka motor,needs,Transportation
bil unifi rumah chers,needs,Telecommunication
makan shellout,wants,Food & Beverage
diapers and milk,needs,Others
பீஸ்ஸா (pizza),wants,Food & Beverage
main game,wants,Entertainment
topup toch n go,needs,Transportation
new sneakers urgent,wants,Shopping
home decor baru,wants,Others
付电费 (fù diànfèi) lagi,needs,Financial Services
home wifi bill,needs,Telecommunication
mobile data plan klang,needs,Telecommunication
bayar bil celcom now,needs,Telecommunication
settle ptptn  midvalley,needs,Financial Services
网购 (online shopping),wants,Shopping
வீட்டு வாடகை (vettu vaadagai),needs,Financial Services
pay digi bill,needs,Telecommunication
bayar sewa rumah baru,needs,Financial Services
new sneakrs,wants,Shopping
சுற்றுலா (tour)  kedai runcit credit,wants,Others
bayra hutang deposit,needs,Financial Services
இணையம் (internet),needs,Telecommunication
klinik panel,needs,Others
chicken rice for lunch,needs,Food & Beverage
genting highland trip,wants,Entertainment
付电费 (fù diànfèi) rm50,needs,Financial Services
makan angin,wants,Others
还车贷 (huán chēdài),needs,Financial Services
tiket bas rapid,needs,Transportation
durian musang king baru,wants,Food & Beverage
topup hotlink lagi,needs,Telecommunication
toiletries  pavilion,needs,Others
yuran sekolah anak  midvalley credit,needs,Others
change engine oil  at mall,needs,Transportation
tengok waayng,wants,Entertainment
bil unifi rumah,needs,Telecommunication
பஸ் கட்டணம் (bus fare),needs,Transportation
insuran nyawa,needs,Financial Services
ubat klini,needs,Others
去云顶 (genting) klang,wants,Entertainment
அரிசி (arisi) yesterday,needs,Food & Beverage
充值 (top up),needs,Telecommunication
car service centre kl rm100,needs,Transportation
喝星巴克 (starbucks) for mom,wants,Food & Beverage
买米 (mǎi mǐ) today,needs,Food & Beverage
bil air syabas,needs,Financial Services
beli air boba,wants,Food & Beverage
tambang lrt,needs,Transportation
bayar hutang baru,needs,Financial Services
nambang bas,needs,Transportation
bus fare  bangsar yesterday,needs,Transportation
cuka pendapatan lhdn,needs,Financial Services
spa dan urut damansara monthly,wants,Others
holiday bali,wants,Others
beli beras 10kg for mom,needs,Food & Beverage
பஸ் கட்டணம் (bus fare) kl credit,needs,Transportation
parking tcket,needs,Transportation
beli jam tangan,wants,Shopping
நகை (jewellery),wants,Shopping
pay house rent,needs,Financial Services
nasi lemak biasa,needs,Food & Beverage
beli sabun basuh,needs,Others
minum starbucks,wants,Food & Beverage
data reload lagi,needs,Telecommunication
makan shellout klang,wants,Food & Beverage
tiket flight  bangsar for family,wants,Others
pay insurance,needs,Financial Services
genting highland trip klang,wants,Entertainment
bil internet,needs,Telecommunication
pay house rent baru,needs,Financial Services
去旅行 (travel) cheras,wants,Others
பிரியாணி (briyani special),wants,Food & Beverage
concert tickets,wants,Entertainment
flight tcikets credit,wants,Others
shopping mall today,wants,Shopping
minyak muto deposit,needs,Transportation
topup tepon  midvalley,needs,Telecommunication
பர்கர் (burger)  at mall lagi,wants,Food & Beverage
beli baju ghalit rm50,wants,Shopping
买新衣服 (new clothes) klang yesterda,wants,Shopping
kredit telefon,needs,Telecommunication
minum starbucks  at mall,wants,Food & Beverage
milk powder baby shah alam baru,needs,Food & Beverage
gi jalan jalan,wants,Entertainment
看医生 (kàn yīshēng)  kedai runcit monthly,needs,Others
skincare haul,wants,Shopping
iphon 15 pro,wants,Shopping
makan angin,wants,Others
bil air syabas,needs,Financial Services
mekap watsons peanng,wants,Shopping
காய்கறி (kaaigari) rm100,needs,Food & Beverage
gi pusing pusing,wants,Others
付过路费 (tol) kl rm100,needs,Transportation
lunch economy rice penang,needs,Food & Beverage
doctor vsit,needs,Others
买新衣服 (new clothes)  online,wants,Shopping
நகை (jewellery)  midvalley,wants,Shopping
holiday trip damansara monthly,wants,Others
makan kfc family for family,wants,Food & Beverage
barang dapur bsah,needs,Food & Beverage
beli air boba  midvalley,wants,Food & Beverage
docto visit for family,needs,Others
போன் பில் (phone bill) monthly,needs,Telecommunication
starbucks coffee,wants,Food & Beverage
nambang bas rm10,needs,Transportation
toiletries  online,needs,Others
holiday trip,wants,Others
bil unifi rumah  kedai runcit now,needs,Telecommunication
doctor visit,needs,Others
pay digi bill,needs,Telecommunication
ubat klinik jb,needs,Others
beli ubat demam damansara today,needs,Others
yuran sekolah anak for mom,needs,Others
ps5 games,wants,Shopping
spa packaeg,wants,Others
鸡饭 (jīfàn),needs,Food & Beverage
நகை (jewellery)  kedai runcit,wants,Shopping
shopping sogo,wants,Shopping
yuran sekoalh anak,needs,Others
diapers and milk baru,needs,Others
minyak masa paket,needs,Food & Beverage
genting highland trip  at mall,wants,Entertainment
beli pampesr anak lagi,needs,Others
打油 (dǎ yóu),needs,Transportation
minyak muto,needs,Transportation
minum starbucks  bangsar,wants,Food & Beverage
diapers and milk,needs,Others
bil unifi rumah  at mall,needs,Telecommunication
oncert tickets now,wants,Entertainment
handbag luxury,wants,Shopping
docotr visit,needs,Others
kasut nike baru tomorrow,wants,Shopping
பால் (paal) now,needs,Food & Beverage
staycation  midvalley,wants,Others
topup hotlink  at mall,needs,Telecommunication
lrt ticket monthly  midvalley,needs,Transportation
pay digi bill credit,needs,Telecommunication
pay water bill,needs,Financial Services
hote mahal,wants,Others
buy cooking oil klang,needs,Food & Beverage
spa packgae today,wants,Others
zakat firtah  at mall rm10,needs,Financial Services
மருத்துவர் (doctor),needs,Others
chicken rice for lunc penang,needs,Food & Beverage
isi minyak kereta full  at mall,needs,Transportation
yuran sekolah anak urgent,needs,Others
நகை (jewellery),wants,Shopping
plumbing repair,needs,Others
isi minyak motor,needs,Transportation
isi minyak motor rm100,needs,Transportation
change ngine oil,needs,Transportation
喝星巴克 (starbucks)  online,wants,Food & Beverage
பீஸ்ஸா (pizza),wants,Food & Beverage
还车贷 (huán chēdài)  bangsar now,needs,Financial Services
tuition fees,needs,Others
insurans nyaa,needs,Financial Services
去云顶 (gentnig),wants,Entertainment
skincare haul klang,wants,Shopping
home edcor,wants,Others
住酒店 (hotel),wants,Others
baski robbins credit,wants,Food & Beverage
hotel booking  kedai runcit urgent,wants,Others
付过路费 (tol),needs,Transportation
new sneakers lagi,wants,Shopping
bil unifi rumah rm50,needs,Telecommunication
spa dan urut now,wants,Others
beli pampers anak,needs,Others
make nasik berlauk tomorrow,needs,Food & Beverage
skincre haul,wants,Shopping
காய்கறி (kaaigari),needs,Food & Beverage
买药 (mǎi yào) klang,needs,Others
settle ptptn,needs,Financial Services
topup pubg,wants,Entertainment
cukai pendapatan lhdn,needs,Financial Services
car detailing,wants,Others
tiket sunway lagoon baru,wants,Entertainment
isi minyak keta  at mall today,needs,Transportation
mbayar aek,needs,Financial Services
kasut nike baru,wants,Shopping
minyak masak pakte,needs,Food & Beverage
சினிமா (icnema),wants,Entertainment
toileties rm50,needs,Others
beli beras 10kg  online,needs,Food & Beverage
beli jam tangan urgent,wants,Shopping
மின்சாரம் (electric bill) shah alam tomorrow,needs,Financial Services
srevis aircond,needs,Others
tiket sunway lagoon,wants,Entertainment
நகை (jewellery) hceras,wants,Shopping
makan tengahari nasi campur  at mall,needs,Food & Beverage
去旅行 (travel),wants,Others
topup umobile rm10,needs,Telecommunication
tambah nilai tng klang,needs,Transportation
settle pptn,needs,Financial Services
uniqlo haul rm100,wants,Shopping
beli sabun basuh rm50,needs,Others
gym membership,wants,Others
bayar ptpt,needs,Financial Services
buy medicine,needs,Others
topup hotlink,needs,Telecommunication
maka angin,wants,Others
handbag luxury,wants,Shopping
isi minyak kereta full  pavilion rm10,needs,Transportation
shopping sakan  kedai runcit,wants,Shopping
கார் பழுது (car repair),needs,Transportation
mbayar aek cheras,needs,Financial Services
topup tepon  pavilion,needs,Telecommunication
做SPA,wants,Others
grab to work,needs,Transportation
bayar keta  midvalley rm50,needs,Financial Services
topup touc n go,needs,Transportation
concert tickets,wants,Entertainment
karaoke night,wants,Entertainment
car servic centre,needs,Transportation
beli jam tangan penang,wants,Shopping
beli baju ghalit,wants,Shopping
ubat klinik,needs,Others
பீஸ்ஸா (pizza),wants,Food & Beverage
bil elektrik tnb,needs,Financial Services
beli beras 10kg,needs,Food & Beverage
buy groceries giant baru,needs,Food & Beverage
kek secret recipe,wants,Food & Beverage
பள்ளி கட்டணம் (school fee),needs,Others
karaoke rm100,wants,Entertainment
tuition fees,needs,Others
修车 (repair car),needs,Transportation
ngeteh mahal,wants,Food & Beverage
beli data,needs,Telecommunication
toilerties,needs,Others
pay house rent,needs,Financial Services
beli ubat demam,needs,Others
shopping sogo  kedai runcit,wants,Shopping
insurans nyawa,needs,Financial Services
karaoke,wants,Entertainment
toiletries cash,needs,Others
grab to work cheras tomorrw,needs,Transportation
bil unifi rumah shah alam,needs,Telecommunication
bil elektrik tnb rm50,needs,Financial Services
shopping sogo  bangsar lagi,wants,Shopping
bayar keta,needs,Financial Services
ngeteh mahal,wants,Food & Beverage
handbag luxury  kedai runcit,wants,Shopping
ubat gigi now,needs,Others
concert tickets shah alam,wants,Entertainment
பள்ளி கட்டணம் (school fee) baru,needs,Others
bus fare damansara,needs,Transportation
pay house rent monthly,needs,Financial Services
gi pusing pusing,wants,Others
tiket sunway lagoon,wants,Entertainment
gi pusing pusing klang,wants,Others
beli sabun basuh  at mall,needs,Others
nambang bas today,needs,Transportation
புதிய உடை (new dress)  midvalley monthly,wants,Shopping
staycatin,wants,Others
杂饭 (záfàn),needs,Food & Beverage
handbag luxury penang,wants,Shopping
付电费 (fù diànfèi),needs,Financial Services
isi minyak kereta full,needs,Transportation
beli pampers anak,needs,Others
sushi king penang cash,wants,Food & Beverage
isi minyak motor klang baru,needs,Transportation
durian musang king,wants,Food & Beverage
holiday bali  midvalley,wants,Others
pay digi bill,needs,Telecommunication
beli data  bangsar,needs,Telecommunication
杂饭 (záfàn),needs,Food & Beverage
杂饭 (záfàn),needs,Food & Beverage
புதிய உடை (new dress),wants,Shopping
isi minyak kereta full,needs,Transportation
kek secret ecipe credit,wants,Food & Beverage
hiasan ruma,wants,Others
topup hotlink deposit,needs,Telecommunication
skincare haul,wants,Shopping
concert tickets,wants,Entertainment
grab to work lagi,needs,Transportation
tapau nasi cash,needs,Food & Beverage
basuh kereta polish,wants,Others
nasi lemak biasa klagn,needs,Food & Beverage
kek secert recipe,wants,Food & Beverage
tambang lrt rm10,needs,Transportation
杂饭 (záfàn) damansara rm50,needs,Food & Beverage
pergi bercuti langkawi,wants,Others
bread and eggs,needs,Food & Beverage
toiletries today,needs,Others
grab to work jb,needs,Transportation
சுற்றுல (tour) today,wants,Others
topu hotlink,needs,Telecommunication
bayar hutang,needs,Financial Services
还车贷 (uhán chēdài),needs,Financial Services
pump petrol monthly,needs,Transportation
toppu pubg cheras,wants,Entertainment
makan shellout,wants,Food & Beverage
买米 (mǎi mǐ) cash,needs,Food & Beverage
புதிய உடை (new dress) kl,wants,Shopping
iphone 15 pro,wants,Shopping
mobile data plan,needs,Telecommunication
鸡饭 (jīfàn),needs,Food & Beverage
spa package shah alam,wants,Others
servis kereta jb now,needs,Transportation
topup pubg cash,wants,Entertainment
doctor visit tomorrow,needs,Others
பெட்ரோல் (petrol) credit,needs,Transportation
bil air syabas,needs,Financial Services
spa package,wants,Others
concert tickets,wants,Entertainment
bubble tea craving,wants,Food & Beverage
tambah nilai tng for mom,needs,Transportation
ps5 games urgent,wants,Shopping
bayar duit kereat kl,needs,Financial Services
beli baju raya,wants,Shopping
minum starbucks  at mall,wants,Food & Beverage
pay water bill,needs,Financial Services
main game shah alam,wants,Entertainment
parking ticket,needs,Transportation
tapau nasi  midvalley rm100,needs,Food & Beverage
bus fare  at mall,needs,Transportation
main bowling credit,wants,Entertainment
beli midin  online rm100,needs,Food & Beverage
付房租 (fù fángzū) yesterday,needs,Financial Services
beli lauk  pavilion,needs,Food & Beverage
付电费 (fù diànfèi),needs,Financial Services
beli air boba penang,wants,Food & Beverage
修车 (repair car)  pavilion,needs,Transportation
tambang lrt today,needs,Transportation
காய்கறி (kaaigari) now,needs,Food & Beverage
home wifi bill lagi,needs,Telecommunication
negteh mahal,wants,Food & Beverage
makan tengahar nasi campur,needs,Food & Beverage
bil elektrik tnb  at mall,needs,Financial Services
shopping mall,wants,Shopping
pergi bercuti langkawi rm10,wants,Others
maggi mee pack klang credit,needs,Food & Beverage
网购 (online shopping)  online rm10,wants,Shopping
netflix premium shah alam,wants,Entertainment
maggi mee pack,needs,Food & Beverage
data relad,needs,Telecommunication
மருத்துவர் (doctor),needs,Others
网购 (online shopping)  kedai runcit,wants,Shopping
bil elektrik tnb,needs,Financial Services
bil air syabas,needs,Financial Services
买新衣服 (new clothes)  pavilion,wants,Shopping
修车 (repair car) kl,needs,Transportation
settle ppttn,needs,Financial Services
pergi bercuti langkawi penang,wants,Others
lrt ticket monthly  pavilion baru,needs,Transportation
ngeteh mahal tomorrow,wants,Food & Beverage
bayar ptptn,needs,Financial Services
mdconalds set,wants,Food & Beverage
minyak muto rm100,needs,Transportation
beli baju ghalit,wants,Shopping
isi minyak motor credit,needs,Transportation
beli ubat demam  pavilion rm10,needs,Others
main game shah alam,wants,Entertainment
买米 (mǎi mǐ),needs,Food & Beverage
handbag luxury  bangsar,wants,Shopping
stycation,wants,Others
tiket bas rapid,needs,Transportation
new gadget today,wants,Shopping
ubat gigi,needs,Others
yuran tadik,needs,Others
sayur manis kl,needs,Food & Beverage
去云顶 (genting) cheras,wants,Entertainment
holiday bali,wants,Others
makan kfc famiy  bangsar,wants,Food & Beverage
tukar tayar kereta today,needs,Transportation
topup hotlink  online,needs,Telecommunication
minum starbucks,wants,Food & Beverage
bayar api,needs,Financial Services
beli baju ghalit,wants,Shopping
bayar ptptn,needs,Financial Services
gym membership,wants,Others
beli data,needs,Telecommunication
beli beras 10kg,needs,Food & Beverage
beli pampers anak urgent,needs,Others
tuka tayar kereta,needs,Transportation
buy emdicine,needs,Others
上网费 (shàngwǎng fèi),needs,Telecommunication
买菜 (mǎi cài),needs,Food & Beverage
pay car loan  pavilion,needs,Financial Services
做SPA,wants,Others
bil unifi rumah rm10,needs,Telecommunication
学费 (xuéfèi),needs,Others
concert tickets  bangsar,wants,Entertainment
bil unifi rumah,needs,Telecommunication
pay digi bill,needs,Telecommunication
holiday bali shah alam monthly,wants,Others
make nasik berlauk jb,needs,Food & Beverage
bus fare  bangsar,needs,Transportation
settle ptptn credit,needs,Financial Services
beli jam tangan  bangsar,wants,Shopping
isi minya motor,needs,Transportation
打油 (dǎ yóu),needs,Transportation
parking ticket damansara,needs,Transportation
change engine oil  online for family,needs,Transportation
bus fare  kedai runcit,needs,Transportation
hotel booking cheras,wants,Others
lrt ticket monthly,needs,Transportation
kasut nike baru,wants,Shopping
bayar sewa rumah,needs,Financial Services
tukar taayr kereta  midvalley,needs,Transportation
spa package rm100,wants,Others
maggi mee pack,needs,Food & Beverage
鸡饭 (jīfàn),needs,Food & Beverage
hotel bokoing penang rm10,wants,Others
plumbing repair baru,needs,Others
grabfood delivery damansara,wants,Food & Beverage
住酒店 (hotel),wants,Others
karaoke,wants,Entertainment
tiket bas rapid,needs,Transportation
isi minyak motor rm10,needs,Transportation
beli baju raya  bangsar rm10,wants,Shopping
bayar sewa ghugi deposit,needs,Financial Services
new sneakers  kedai runcit,wants,Shopping
beli sabun basuh,needs,Others
电话费 (diànhuà fèi),needs,Telecommunication
pump petrol  online now,needs,Transportation
school fees  at mall,needs,Others
yuran tadika credit,needs,Others
பஸ் கட்டணம் (bus fare),needs,Transportation
arang dapur basah,needs,Food & Beverage
shopping sogo jb deposit,wants,Shopping
喝星巴克 (starbucks),wants,Food & Beverage
servis keret,needs,Transportation
beli lauk,needs,Food & Beverage
school fees,needs,Others
住酒店 (hotel)  kedai runcit,wants,Others
kreidt telefon,needs,Telecommunication
tukar phone baru rm100,wants,Shopping
insurans nyawa tomorrow,needs,Financial Services
concert tickets baru,wants,Entertainment
iphone 15 pro for mom,wants,Shopping
买手机 (buy phone),wants,Shopping
steam game rm10,wants,Entertainment
bil air syabas for mom,needs,Financial Services
bayar sewa rumah tomorrow,needs,Financial Services
beg tangan coach,wants,Shopping
conert tickets,wants,Entertainment
isi minyak keta damansara,needs,Transportation
milk powder baby  midvalley,needs,Food & Beverage
吃火锅 (hotpot),wants,Food & Beverage
tukar tayar kereta,needs,Transportation
bayar bil celcom,needs,Telecommunication
diapers and milk tomorrow,needs,Others
netflix bill for family,wants,Entertainment
beli pampers anak urgent,needs,Others
fancy dinner cheras cash,wants,Food & Beverage
spa package,wants,Others
reload prepaid,needs,Telecommunication
shopee 11.11,wants,Shopping
servs kereta,needs,Transportation
shope 11.11 cheras monthly,wants,Shopping
bil unifi rumah,needs,Telecommunication
doctor visi,needs,Others
pay digi bill,needs,Telecommunication
beli ubat demam,needs,Others
pergi bercuti langkawi,wants,Others
காய்கறி (kaaigari),needs,Food & Beverage
கார் கடன் (car loan),needs,Financial Services
பிரியாணி (briyani special)  kedai runcit,wants,Food & Beverage
ps5 games klang now,wants,Shopping
bil internet  at mall,needs,Telecommunication
sabun basuh baju,needs,Others
上网费 (shàngwǎng fèi) shah alam,needs,Telecommunication
beli midin,needs,Food & Beverage
topup tepon  midvalley,needs,Telecommunication
kredit telefon,needs,Telecommunication
பஸ்ஸா (pizza),wants,Food & Beverage
main game rm10,wants,Entertainment
grab to work,needs,Transportation
beli air boba,wants,Food & Beverage
beli ayam seekor,needs,Food & Beverage
bayar ptptn  at mall,needs,Financial Services
சோறு (soru),needs,Food & Beverage
skincare haul penang urgent,wants,Shopping
கார் பழுது (car repair) now,needs,Transportation
மருத்துவர் (doctor),needs,Others
buy cooking oil,needs,Food & Beverage
doctor viist shah alam monthly,needs,Others
spa pacage,wants,Others
hotel booking,wants,Others
topup touch n go  kedai runcit,needs,Transportation
netflix bill for family,wants,Entertainment
网购 (online shopping),wants,Shopping
insurans nyawa,needs,Financial Services
买新衣服 (new clothes),wants,Shopping
durian musang king,wants,Food & Beverage
beli pampers anak rm100,needs,Others
pay insurance,needs,Financial Services
nambang bas urgent,needs,Transportation
handbag luxury credit,wants,Shopping
reload prepaid,needs,Telecommunication
genting highland trip  midvalley,wants,Entertainment
吃火锅 (hotpot) tmoorrow,wants,Food & Beverage
ngeteh mahal,wants,Food & Beverage
唱K (karaoke),wants,Entertainment
கார் கடன் (car loan) lagi,needs,Financial Services
beli diamond mlbb,wants,Entertainment
maggi mee pack,needs,Food & Beverage
spotify subscription jb,wants,Entertainment
网购 (online shopping)  online,wants,Shopping
shopping mall now,wants,Shopping
new gadget kl,wants,Shopping
买奶茶 (boba)  pavilion lagi,wants,Food & Beverage
பிிரயாணி (briyani special),wants,Food & Beverage
上网费 (shàngwǎng fèi),needs,Telecommunication
bayar hutng  kedai runcit,needs,Financial Services
kredit telefon rm10,needs,Telecommunication
tengok wayang  kedai runcit,wants,Entertainment
beli jam tangan  kedai runcit,wants,Shopping
holiday trip yesterday,wants,Others
买新衣服 (new clothes),wants,Shopping
shopping sogo,wants,Shopping
புதிய உடை (new dress),wants,Shopping
mobile data plan,needs,Telecommunication
tambang lrt baru,needs,Transportation
ubat gigi now,needs,Others
kredit telefon,needs,Telecommunication
住酒店 (hotel,wants,Others
பஸ் கட்டணம் (bus fare),needs,Transportation
bil elektrik tnb rm10,needs,Financial Services
starbucks coffee cheras,wants,Food & Beverage
iphone 15 pro,wants,Shopping
pay car loan,needs,Financial Services
topup umobile monthly,needs,Telecommunication
kasut nike baru for family,wants,Shopping
bil elektrik tnb,needs,Financial Services
beli data,needs,Telecommunication
make nasik berlauk lang rm50,needs,Food & Beverage
topup hotlink,needs,Telecommunication
yuran sekolah anak,needs,Others
data reloda,needs,Telecommunication
fancy dinner tomorrow,wants,Food & Beverage
喝星巴克 (starbucks),wants,Food & Beverage
bil unifi rumah  online,needs,Telecommunication
இணையம் (internet) crdit,needs,Telecommunication
karaoke night penang,wants,Entertainment
bread and eggs,needs,Food & Beverage
kredit telefon  kedai runcit,needs,Telecommunication
sabun basuh baju cheras,needs,Others
baran dapur basah,needs,Food & Beverage
bubble tea craving,wants,Food & Beverage
insurans nyaw,needs,Financial Services
bil elektrik tnb deposit,needs,Financial Services
sabn basuh baju for mom,needs,Others
bayar ptptn  midvalley,needs,Financial Services
bubble tea craving deposit,wants,Food & Beverage
makan angin cash,wants,Food & Beverage
klinik panel,needs,Others
staycation jb,wants,Others
kasut nike baru tomorrow,wants,Shopping
netflix bill,wants,Entertainment
tapau nasi,needs,Food & Beverage
servis aircond,needs,Others
bayar maxis rm10,needs,Telecommunication
bread and eggs  midvalley,needs,Food & Beverage
அரிசி (arisi),needs,Food & Beverage
mcdonalds set penang,wants,Food & Beverage
lrt ticket monthyl now,needs,Transportation
mdconalds set rm100,wants,Food & Beverage
toiletries monthly,needs,Others
reload prepaid,needs,Telecommunication
பெட்ரோல் (petrol),needs,Transportation
sayur pasar tani  kedai runcit,needs,Food & Beverage
reload tng ewallet,needs,Transportation
isi minyak motor for family,needs,Transportation
home decor cheras creidt,wants,Others
spa dan urut,wants,Others
tudung duck jb,wants,Shopping
mbayar aek  midvalley,needs,Financial Services
bil unifi rumah,needs,Telecommunication
看医生 (kàn yīshēng)  kedai runcit,needs,Others
pay digi bill  midvalley lagi,needs,Telecommunication
bubble tea craving  pavilion rm10,wants,Food & Beverage
car service centre,needs,Transportation
இணையம் (itnernet) cheras baru,needs,Telecommunication
beli data,needs,Telecommunication
போன் பில் (phone bill) urgent,needs,Telecommunication
付电费 (fù diànfèi) credit,needs,Financial Services
beli jam tangan urgen,wants,Shopping
docto visit,needs,Others
buy medicine,needs,Others
买菜 (mǎi cài) damansara monthly,needs,Food & Beverage
mbayar aek  at mall,needs,Financial Services
bayar bil celcom shah alam,needs,Telecommunication
durian musang king,wants,Food & Beverage
holiday trip cheras,wants,Others
bayar bil celcom,needs,Telecommunication
plumbing repair  pavilion rm50,needs,Others
கார் கடன் (car loan)  bangsar,needs,Financial Services
bayar sewa ghugi,needs,Financial Services
付电费 (fù diànfèi jb,needs,Financial Services
data reload jb today,needs,Telecommunication
movie tickets jb,wants,Entertainment
学费 (xuéfèi) shah alam lagi,needs,Others
bayar hutang damansara yesterday,needs,Financial Services
pekena nasi kandaq shah alam lagi,wants,Food & Beverage
milk powder baby  kedai rucit,needs,Food & Beverage
netflix premium klang tomorrow,wants,Entertainment
杂饭 (záfàn) montly,needs,Food & Beverage
afncy dinner,wants,Food & Beverage
spotfiy subscription  kedai runcit,wants,Entertainment
பெட்ரோல் (petorl),needs,Transportation
还车贷 (huán chēdài),needs,Financial Services
bil unifi rumah  keai runcit,needs,Telecommunication
langgan netflix,wants,Entertainment
shopping sogo,wants,Shopping
school fees lagi,needs,Others
car detailing,wants,Others
karaoke night tomorrow,wants,Entertainment
tnb bill payment,needs,Financial Services
பள்ளி கட்டணம் (school fee),needs,Others
makan shellout  midvalley cash,wants,Food & Beverage
புதிய உடை (new dess),wants,Shopping
பிரியாணி (briyan special),wants,Food & Beverage
bil unifi rumah,needs,Telecommunication
mcdonalds set,wants,Food & Beverage
baar ptptn cash,needs,Financial Services
打油 (dǎ yóu),needs,Transportation
bayar sewa rumah,needs,Financial Services
bil internet rm100,needs,Telecommunication
网购 (online shopping) today,wants,Shopping
ubat klinik,needs,Others
zakat fitrah,needs,Financial Services
tiket sunway lagoon lagi,wants,Entertainment
buy groceries giat cheras,needs,Food & Beverage
tiket konsert,wants,Entertainment
chnage engine oil,needs,Transportation
hiasan rumah,wants,Others
zakat fitrah,needs,Financial Services
shopping mall,wants,Shopping
mcdonalds set  kedai runcit yesterday,wants,Food & Beverage
staycatio,wants,Others
beli baju raya,wants,Shopping
去旅行 (travel) tomorrow,wants,Others
கார் பழுது (car repair) jb now,needs,Transportation
bayar ptptn today,needs,Financial Services
movie tickets shah alam for mom,wants,Entertainment
சோறு (soru  online,needs,Food & Beverage
home wifi bill,needs,Telecommunication
basuh kereta polish  bangsar,wants,Others
maka angin,wants,Others
充值 (top up),needs,Telecommunication
plumbing repair,needs,Others
tikte konsert now,wants,Entertainment
makan tengahari nasi campur,needs,Food & Beverage
karaoke yesterday,wants,Entertainment
renew roadtax cheras,needs,Financial Services
ubat gigi credit,needs,Others
住酒店 (hotel),wants,Others
data reload  midvalley,needs,Telecommunication
பெட்ரோல் (petrol) penang,needs,Transportation
makan angin lagi,wants,Others
team games  bangsar,wants,Entertainment
நகை (jeweller)y,wants,Shopping
yuran tadika,needs,Others
reload prepaid,needs,Telecommunication
grab to work,needs,Transportation
bayar sewa ghugi,needs,Financial Services
还车贷 (huán chēdài),needs,Financial Services
போன் பில் (phone bill) cheras cash,needs,Telecommunication
netflix bill,wants,Entertainment
beli lauk,needs,Food & Beverage
spa package yesterday,wants,Others
bayar sewa rumah,needs,Financial Services
gi pusin pusing,wants,Others
shopee 11.11 today,wants,Shopping
makan angi damansara,wants,Food & Beverage
isi minyak kereta full  at mall monthly,needs,Transportation
சினிமா (cinema),wants,Entertainment
minum starbucks,wants,Food & Beverage
சினிமா cinema),wants,Entertainment
buy groceries giant for family,needs,Food & Beverage
付电费 (fù diànfèi) lagi,needs,Financial Services
去旅行 (travel) jb,wants,Others
makan awgyu,wants,Food & Beverage
beli ayam seekor urgent,needs,Food & Beverage
充值 (top up),needs,Telecommunication
beli sabun basuh klang,needs,Others
korean bbq,wants,Food & Beverage
gi pusing using deposit,wants,Others
topup umobile lagi,needs,Telecommunication
